variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
VXI,Manual,0,1st Owner,Petrol,HR-51,689000,2021,Maruti,SWIFT
HIGHLINE PLUS 1.0 TSI MT,Manual,6323,1st Owner,Petrol,UP-32,949000,2020,Volkswagen,Vento
XM 2.0L Kryotec,Manual,49585,1st Owner,Diesel,HR-26,1174000,2019,TATA,Harrier
XV PREMIUM MT,Manual,3008,1st Owner,Petrol,HR-51,867000,2022,Nissan,MAGNITE
ASTA 1.2,Manual,82575,1st Owner,Petrol,DL-9C,485000,2014,Hyundai,Elite
HIGHLINE A/T,Automatic,88800,1st Owner,Diesel,DL-10,2069000,2018,VOLKSWAGEN,TIGUAN
VXI AMT,Automatic,24467,1st Owner,Petrol,DL-2C,716000,2021,Maruti,Dzire
1.2L I-VTEC E,Manual,17202,1st Owner,Petrol,DL-4C,361000,2014,Honda,Amaze
HTX 1.0 IMT,Manual,18786,2nd Owner,Petrol,DL-3C,1031000,2021,KIA,SONET
GTX PLUS 1.0 DCT,Automatic,25964,1st Owner,Petrol,HR-06,1272000,2021,KIA,SONET
V MT PETROL,Manual,5785,1st Owner,Petrol,DL-4C,1048000,2021,Honda,City
S MT 1.2 KAPPA,Manual,15163,1st Owner,Petrol,DL-7C,867000,2022,Hyundai,VENUE
SPORTZ 1.2,Manual,21545,1st Owner,Petrol,HR-51,302000,2013,Hyundai,i10
MONTE CARLO 1.0 MT,Manual,35196,1st Owner,Petrol,DL-10,1057000,2021,Skoda,Rapid
MAGNA 1.2 MT,Manual,18141,1st Owner,Petrol,DL-12,736000,2021,Hyundai,NEW
1.5 SIGMA SHVS,Manual,78567,1st Owner,Petrol,DL-1C,713000,2020,Maruti,Ciaz
T,Manual,14128,1st Owner,Petrol,DL-3C,539000,2019,Datsun,Go
MAGNA PLUS,Manual,34328,1st Owner,Petrol,DL-3C,272000,2014,Hyundai,Eon
VXI CNG,Manual,68657,1st Owner,CNG,HR-72,397000,2020,Maruti,S
GTX + 1.0 IMT,Manual,7036,1st Owner,Petrol,HR-26,1216000,2021,KIA,SONET
1.2 S,Manual,89972,1st Owner,Petrol,UP-53,607000,2018,Hyundai,i20
VXI,Manual,56510,1st Owner,Petrol,HR-26,332000,2015,Maruti,Wagon
SIGMA PETROL 1.2,Manual,18446,2nd Owner,Petrol,DL-5C,570000,2020,Maruti,Baleno
MAGNA EXECUTIVE 1.2,Manual,55117,2nd Owner,Petrol,DL-8C,552000,2018,HYUNDAI,ELITE
E PLUS 1.6 PETROL,Manual,70443,1st Owner,Petrol,DL-8C,820000,2017,Hyundai,Creta
SX 1.2,Manual,42846,1st Owner,CNG,DL-9C,579250,2019,Hyundai,Xcent
SPORTZ 1.2 KAPPA VTVT,Manual,46658,1st Owner,Petrol,DL-2C,396000,2015,Hyundai,Grand
XZ 1.2,Manual,32195,1st Owner,Petrol,HR-19,692000,2020,TATA,ALTROZ
XZ+ CNG 1.2 RTN,Manual,13579,1st Owner,CNG,DL-9C,753000,2022,Tata,Tiago
RXL EASY R 1.0 L,Automatic,41505,1st Owner,Petrol,HR-19,686000,2021,Renault,Kiger
G AT,Automatic,88365,1st Owner,Petrol,DL-2C,937000,2016,Toyota,Corolla
XT+ Dark Edition,Manual,15347,1st Owner,Diesel,HR-98,1770000,2021,Tata,Harrier
1.5 E MT PETROL,Manual,19282,1st Owner,Petrol,DL-14,615000,2016,Honda,City
SPORTZ (O) 1.2 KAPPA VTVT,Manual,50446,1st Owner,Petrol,HR-10,506000,2017,Hyundai,Grand
GTX + AT PETROL,Automatic,9417,1st Owner,Petrol,DL-8C,1663000,2020,KIA,SELTOS
SX 1.2,Manual,31093,1st Owner,Petrol,DL-9C,706000,2020,Hyundai,AURA
2.0 LONGITUDE (O),Manual,32038,1st Owner,Diesel,DL-10,1142000,2017,Jeep,Compass
1.2 S MT I VTEC,Manual,50574,1st Owner,Petrol,DL-8C,293000,2013,HONDA,BRIO
SX (O) 1.5 CRDI,Manual,36033,1st Owner,Diesel,HR-10,1596000,2021,HYUNDAI,VERNA
XL(O),Manual,18993,2nd Owner,Petrol,HR-26,484000,2018,Nissan,Micra
XZA 1.2 REVOTRON,Automatic,52164,1st Owner,Petrol,DL-3C,520000,2019,Tata,Tiago
LXI,Manual,32075,1st Owner,Petrol,DL-9C,190000,2010,Maruti,Wagon
DELTA PETROL 1.2,Manual,69292,1st Owner,Petrol,DL-8C,502000,2016,Maruti,Baleno
SHARP DCT PETROL,Automatic,52597,1st Owner,Petrol,UP-41,1612000,2020,MG,HECTOR
LXI,Manual,51267,1st Owner,CNG,HR-51,570000,2019,Maruti,Swift
MAGNA 1.1 IRDE2,Manual,48832,1st Owner,Petrol,DL-10,343000,2015,Hyundai,i10
SPORTZ 1.2 KAPPA VTVT,Manual,36938,1st Owner,Petrol,DL-8C,362000,2014,HYUNDAI,GRAND
VX AT,Automatic,23106,1st Owner,Petrol,DL-3C,531000,2017,Honda,Brio
ZXI+,Manual,6901,1st Owner,Petrol,DL-8C,819000,2021,Maruti,Swift
SIGMA PETROL 1.2,Manual,21864,2nd Owner,Petrol,DL-5C,561000,2020,Maruti,Baleno
V MT PETROL,Manual,29942,1st Owner,Petrol,DL-3C,864000,2018,Honda,City
1.2 V CVT I VTEC,Automatic,12503,1st Owner,Petrol,DL-14,719000,2018,HONDA,AMAZE
VXI AMT,Automatic,42526,1st Owner,Petrol,DL-12,570000,2017,Maruti,Dzire
DELTA PETROL 1.2,Manual,62610,1st Owner,Petrol,DL-2C,586000,2019,Maruti,BALENO
HTX 1.0 IMT,Manual,11425,1st Owner,Petrol,UP-16,1139000,2021,KIA,SONET
DELTA 1.5 SHVS VVT MT,Manual,20701,1st Owner,Petrol,DL-12,759000,2019,Maruti,CIAZ
1.4  LONGITUDE (O) AT,Automatic,23690,1st Owner,Petrol,DL-3C,1857000,2019,Jeep,Compass
