variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
DELTA 1.2 K12,Manual,39910,2nd Owner,Petrol,DL-7C,526000,2018,Maruti,Baleno
ZDI,Manual,31439,1st Owner,Diesel,DL-4C,880000,2020,Maruti,Vitara
ZXI AMT,Automatic,1570,1st Owner,Petrol,DL-12,924000,2022,Maruti,Dzire
VXI,Manual,44893,1st Owner,Petrol,DL-1C,446000,2019,Maruti,CELERIO
SPORTZ (O) 1.2 KAPPA VTVT,Manual,36974,1st Owner,Petrol,UP-14,488000,2017,Hyundai,Grand
SIGMA 1.2,Manual,35874,2nd Owner,Petrol,DL-12,434000,2018,Maruti,IGNIS
1.2L I-VTEC S MT,Manual,27235,1st Owner,Petrol,HR-36,677000,2018,Honda,WR-V
DELTA PETROL 1.2,Manual,33836,1st Owner,Petrol,DL-3C,615000,2019,Maruti,Baleno
V MT PETROL,Manual,35601,1st Owner,Petrol,UP-16,774000,2017,Honda,City
1.0 TREND+ (ECOBOOST),Manual,59612,1st Owner,Petrol,DL-10,632000,2016,Ford,Ecosport
S MT PETROL,Manual,63533,1st Owner,Petrol,HR-26,415000,2012,Honda,City
TITANIUM 1.5L PETROL,Manual,22270,1st Owner,Petrol,UP-16,793000,2019,FORD,ECOSPORT
ZXI AMT,Automatic,44995,2nd Owner,Petrol,DL-8C,399000,2016,Maruti,Celerio
GL,Manual,100530,1st Owner,Petrol,DL-3C,799000,2015,Toyota,Corolla
VXI AMT,Automatic,63382,2nd Owner,Petrol,DL-5C,361000,2015,Maruti,Celerio
SPORTZ AMT,Automatic,35686,1st Owner,Petrol,DL-10,551000,2020,Hyundai,NEW
VXI,Manual,25145,1st Owner,Petrol,HR-98,475000,2021,Maruti,Celerio
1.6 SX VTVT,Manual,12938,1st Owner,Petrol,DL-7C,1137000,2019,Hyundai,Creta
VL CVT PETROL,Automatic,51062,1st Owner,Petrol,DL-10,934000,2015,TOYOTA,COROLLA
GT TDI,Manual,85697,1st Owner,Diesel,UP-16,744000,2019,Volkswagen,POLO
TREND 1.5L PETROL,Manual,73522,1st Owner,Petrol,UP-14,600000,2017,Ford,Ecosport
VXI,Manual,48730,1st Owner,Petrol,HR-26,552000,2017,Maruti,Dzire
SPORTZ 1.2 AT,Automatic,22517,2nd Owner,Petrol,DL-3C,250000,2011,Hyundai,i10
VXI AMT,Automatic,49929,1st Owner,Petrol,DL-9C,625000,2018,Maruti,DZIRE
HTK 1.5 PETROL,Manual,7221,1st Owner,Petrol,HR-26,1132000,2019,KIA,SELTOS
DELTA PETROL 1.2,Manual,17266,1st Owner,Petrol,HR-26,643000,2019,Maruti,Baleno
1.2 V AT,Automatic,65103,1st Owner,Petrol,DL-5C,523000,2015,Honda,Jazz
1.0 RXT Opt AT,Automatic,13095,1st Owner,Petrol,DL-3C,472000,2020,Renault,Kwid
DELTA PETROL 1.2,Manual,39745,1st Owner,Petrol,DL-12,562000,2017,Maruti,BALENO
DELTA PETROL 1.2,Manual,41373,1st Owner,Petrol,DL-2C,517000,2016,Maruti,Baleno
P8,Manual,83004,1st Owner,Diesel,DL-8C,819000,2018,Mahindra,TUV
MAGNA 1.2 KAPPA VTVT,Manual,19713,1st Owner,Petrol,HR-26,577000,2020,HYUNDAI,GRAND
1.2 EMT I VTEC,Manual,27324,1st Owner,Petrol,DL-13,394000,2014,Honda,Amaze
ALPHA 1.4 VVT,Manual,98200,1st Owner,Petrol,DL-8C,653000,2017,Maruti,Ciaz
V MT PETROL,Manual,33591,1st Owner,Petrol,DL-10,698000,2016,Honda,City
HTX 1.5 PETROL,Manual,9337,1st Owner,Petrol,HR-98,1496000,2021,KIA,SELTOS
XZ+ CNG 1.2 RTN,Manual,30399,1st Owner,CNG,HR-26,757000,2022,Tata,Tiago
ZETA PETROL 1.2,Manual,55153,1st Owner,Petrol,DL-2C,663000,2019,Maruti,Baleno
J CVT,Automatic,38184,1st Owner,Petrol,DL-10,903000,2020,Toyota,YARIS
ASTA 1.2,Manual,51113,1st Owner,Petrol,UP-78,503000,2014,HYUNDAI,ELITE
1.0 LXI (O),Manual,38582,1st Owner,Petrol,HR-76,449000,2019,Maruti,New
ALPHA 1.5 SHVS PETROL,Manual,42142,2nd Owner,Petrol,HR-26,825000,2018,Maruti,CIAZ
1.4 CRDI MT SX,Manual,88117,1st Owner,Diesel,HR-29,845000,2019,Hyundai,VENUE
DELTA PETROL 1.2,Manual,42192,1st Owner,Petrol,DL-9C,558000,2017,Maruti,Baleno
DELTA 1.4 AT PETROL,Automatic,45176,1st Owner,Petrol,DL-9C,779000,2017,Maruti,CIAZ
HTK+ 1.5D MT,Manual,27698,1st Owner,Diesel,UP-32,1034000,2021,KIA,SONET
VXI AMT,Automatic,65851,1st Owner,Petrol,DL-8C,394000,2016,Maruti,Celerio
XZ+ OPT PETROL,Manual,22652,1st Owner,Petrol,HR-26,952000,2020,Tata,NEXON
HIGHLINE PLUS 1.5L DIESEL,Manual,36305,1st Owner,Diesel,HR-51,644000,2018,Volkswagen,Polo
MAGNA 1.2 KAPPA VTVT,Manual,27213,2nd Owner,Petrol,DL-1C,475000,2018,Hyundai,Grand
SPORTZ CNG,Manual,66932,1st Owner,CNG,DL-8C,469000,2018,Hyundai,NEW
DELTA PETROL 1.2,Manual,23526,1st Owner,Petrol,DL-8C,563000,2017,Maruti,BALENO
V MT PETROL,Manual,67367,1st Owner,Petrol,DL-4C,636000,2015,Honda,City
SPORTZ 1.2,Manual,52575,1st Owner,Petrol,UP-16,631000,2018,Hyundai,Elite
G AT,Automatic,75836,1st Owner,Petrol,DL-10,1139000,2017,TOYOTA,COROLLA
CRDE 4X4 BS IV,Manual,21244,1st Owner,Diesel,DL-10,882000,2018,Mahindra,Thar
SPORTZ 1.2 (O),Manual,20466,1st Owner,Petrol,DL-1C,604000,2015,HYUNDAI,ELITE
LXI,Manual,8977,1st Owner,Petrol,DL-8C,526000,2022,Maruti,Celerio
STYLE 1.0TSI MT,Manual,13030,1st Owner,Petrol,UP-78,1210000,2021,Skoda,Rapid
ZETA 1.2,Manual,9558,1st Owner,Petrol,DL-5C,632000,2021,Maruti,IGNIS
ZXI,Manual,23364,1st Owner,Petrol,DL-5C,611000,2015,Maruti,Ciaz
XZA PLUS GOLD,Automatic,20424,1st Owner,Diesel,UP-16,2186000,2022,Tata,Safari
SIGMA 1.5 SHVS,Manual,17916,1st Owner,Petrol,UP-85,880000,2021,Maruti,S
SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,22284,1st Owner,Petrol,DL-4C,558000,2017,Hyundai,Grand
XZ 1.2 REVOTRON,Manual,38715,1st Owner,Petrol,UP-16,503000,2019,Tata,Tiago
1.2 SMT I VTEC,Manual,70134,1st Owner,Petrol,DL-4C,367000,2014,HONDA,AMAZE
1.2 S,Manual,37975,2nd Owner,Petrol,DL-8C,541000,2015,Hyundai,i20
DELTA PETROL 1.2,Manual,89081,1st Owner,CNG,HR-12,559000,2017,Maruti,BALENO
ZXI,Manual,79832,1st Owner,Petrol,HR-26,565000,2014,Maruti,Ciaz
ZDI PLUS AMT,Automatic,89151,1st Owner,Diesel,UP-16,837000,2018,Maruti,Vitara
VXI,Manual,52784,1st Owner,Petrol,DL-2C,308000,2012,Maruti,Swift
ZETA PETROL 1.2,Manual,14813,1st Owner,Petrol,UP-16,715000,2020,Maruti,Baleno
LXI,Manual,66583,1st Owner,Petrol,DL-8C,542000,2020,Maruti,Swift
S 1.2,Manual,50990,2nd Owner,Petrol,HR-26,427000,2015,HYUNDAI,XCENT
DELTA PETROL 1.2,Manual,15569,1st Owner,Petrol,DL-2C,597000,2018,Maruti,Baleno
SPORTZ 1.2 KAPPA VTVT,Manual,77808,1st Owner,Petrol,UP-14,346000,2014,Hyundai,Grand
VXI CNG,Manual,81143,1st Owner,CNG,DL-9C,462000,2018,Maruti,Celerio
1.2 SPORTS PLUS VTVT,Manual,30152,2nd Owner,Petrol,HR-26,662000,2019,Hyundai,Elite
ZETA PETROL 1.2,Manual,0,1st Owner,Petrol,DL-8C,760000,2019,Maruti,BALENO
MAGNA 1.2 VTVT,Manual,15736,1st Owner,Petrol,DL-10,478000,2018,Hyundai,Grand
DELTA PETROL 1.2,Manual,74161,2nd Owner,CNG,HR-34,596000,2019,Maruti,Baleno
1.2 S AT,Automatic,68766,1st Owner,Petrol,DL-4C,515000,2016,Honda,Jazz
DELTA 1.4 VVT,Manual,66931,1st Owner,Petrol,DL-7C,660000,2017,Maruti,Ciaz
SPORTZ 1.1,Manual,29826,2nd Owner,Petrol,HR-26,437000,2019,Hyundai,NEW
1.8 G,Manual,66466,2nd Owner,Petrol,DL-12,408000,2011,Toyota,COROLLA
ASTA 1.2 (O),Manual,72417,2nd Owner,Petrol,DL-12,541000,2015,HYUNDAI,ELITE
ZXI,Manual,42705,1st Owner,Petrol,DL-3C,628000,2018,Maruti,Swift
LXI,Manual,70182,1st Owner,Petrol,DL-12,545000,2019,Maruti,SWIFT
XZ PETROL,Manual,39895,1st Owner,Petrol,DL-7C,646000,2021,Tata,TIGOR
LXI CNG (O) 1.0,Manual,12121,1st Owner,CNG,HR-26,582000,2021,Maruti,New
ZDI PLUS DUAL TONE,Manual,68208,1st Owner,Diesel,HR-26,879000,2019,Maruti,Vitara
DELTA 1.2 K12,Manual,92670,1st Owner,Petrol,DL-2C,426000,2018,Maruti,IGNIS
VXI 1.0,Manual,3741,1st Owner,Petrol,HR-51,612000,2022,Maruti,New
RXL,Manual,19729,1st Owner,Petrol,DL-8C,373000,2019,Renault,Kwid
W11,Manual,32204,1st Owner,Diesel,DL-1C,1375000,2019,Mahindra,XUV500
MAGNA 1.2,Manual,38043,1st Owner,Petrol,DL-7C,523000,2016,Hyundai,Elite
VXI,Manual,78540,1st Owner,Petrol,DL-9C,453000,2015,Maruti,Swift
ZETA 1.3,Manual,37911,1st Owner,Diesel,DL-8C,662000,2017,Maruti,S
ZXI,Manual,48335,1st Owner,Petrol,DL-9C,429000,2018,Maruti,CELERIO
LXI (O),Manual,43904,2nd Owner,Petrol,DL-12,446000,2017,Maruti,SWIFT
VXI CNG,Manual,81406,1st Owner,CNG,DL-9C,473000,2018,Maruti,Celerio
1.4 E PLUS CRDI,Manual,98513,1st Owner,Diesel,HR-36,782000,2017,Hyundai,Creta
1.5 SMT I DTEC,Manual,82187,1st Owner,Diesel,DL-10,564000,2018,Honda,Amaze
W11 (O),Manual,23017,1st Owner,Diesel,DL-12,1503000,2019,Mahindra,XUV500
ASTA 1.2,Manual,24418,1st Owner,Petrol,DL-8C,654000,2017,HYUNDAI,ELITE
DELTA PETROL 1.2,Manual,28131,2nd Owner,Petrol,DL-1C,538000,2016,Maruti,Baleno
T (O),Manual,7330,1st Owner,Petrol,HR-72,400000,2021,DATSUN,REDI
1.2L I-VTEC E,Manual,13328,1st Owner,Petrol,HR-26,672000,2020,Honda,Amaze
1.6 CRDI SX,Manual,37640,1st Owner,Diesel,HR-51,1052000,2019,Hyundai,Verna
E PLUS 1.4 DIESEL,Manual,93155,2nd Owner,Diesel,UP-16,852000,2018,HYUNDAI,CRETA
ZXI,Manual,70706,1st Owner,Petrol,DL-2C,442000,2014,Maruti,Swift
ZETA PETROL 1.2,Manual,29157,1st Owner,Petrol,DL-9C,568000,2017,Maruti,Baleno
2.4 VX 7 STR,Manual,72147,1st Owner,Diesel,HR-36,1444000,2016,Toyota,Innova
1.5 i-DTEC S MT,Manual,61469,1st Owner,Diesel,HR-26,612000,2017,HONDA,WR-V
 RXT (O) AMT 1.0 DUAL TONE,Automatic,6642,1st Owner,Petrol,UP-14,842000,2022,Renault,Kiger
1.0 AMBITION TSI AT,Automatic,10713,1st Owner,Petrol,DL-10,1051000,2020,Skoda,Rapid
DELTA PETROL 1.2,Manual,61195,2nd Owner,Petrol,UP-14,579000,2019,Maruti,Baleno
LXI,Manual,2297,2nd Owner,Petrol,DL-14,582000,2020,Maruti,Swift
ZDI,Manual,40587,2nd Owner,Diesel,DL-3C,719000,2018,Maruti,Vitara
HTK PLUS 1.5 DIESEL,Manual,84335,1st Owner,Diesel,DL-12,1248000,2020,KIA,SELTOS
1.5TITANIUM TDCI,Manual,45730,1st Owner,Diesel,DL-12,758000,2018,Ford,Ecosport
1.2 V CVT I VTEC,Automatic,21826,1st Owner,Petrol,DL-4C,833000,2021,Honda,Amaze
GLS 4WD AT DIESEL,Automatic,25149,1st Owner,Diesel,UP-16,1846000,2018,HYUNDAI,TUCSON
VX CVT PETROL,Automatic,75891,1st Owner,Petrol,UP-32,898000,2018,HONDA,CITY
1.2L I-VTEC S,Manual,47657,1st Owner,Petrol,DL-3C,635000,2020,Honda,Amaze
SX AT 1.6 DIESEL,Automatic,80459,1st Owner,Diesel,UP-14,1274000,2019,HYUNDAI,CRETA
V MT PETROL,Manual,19216,1st Owner,Petrol,UP-16,960000,2021,Honda,City
1.6 SX VTVT (O) EXECUTIVE,Manual,81872,1st Owner,Petrol,DL-12,1160000,2019,Hyundai,Creta
1.2 SPORTS PLUS VTVT,Manual,38241,1st Owner,Petrol,DL-1C,770000,2020,Hyundai,Elite
ASTA AT 1.2 KAPPA VTVT,Automatic,75171,1st Owner,Petrol,DL-2C,423000,2015,Hyundai,Grand
MAGNA CNG,Manual,19016,2nd Owner,CNG,DL-1C,505000,2020,Hyundai,NEW
V MT PETROL,Manual,49089,1st Owner,Petrol,DL-10,829000,2018,Honda,City
SPORTZ (O) 1.2 AT VTVT,Automatic,30210,1st Owner,Petrol,DL-8C,576000,2017,Hyundai,Grand
SV MT PETROL,Manual,60378,1st Owner,Petrol,UP-32,521000,2014,HONDA,CITY
ZDI + AMT,Automatic,41271,1st Owner,Diesel,DL-2C,848000,2018,Maruti,VITARA
S 1.0 TURBO IMT,Manual,23036,1st Owner,Petrol,DL-10,1033000,2021,Hyundai,VENUE
SPORTZ 1.1,Manual,10632,1st Owner,Petrol,DL-12,481000,2019,HYUNDAI,NEW
1.5 TREND TI VCT,Manual,20728,2nd Owner,CNG,HR-29,755000,2019,Ford,Ecosport
J MT,Manual,8465,1st Owner,Petrol,DL-10,988000,2021,TOYOTA,YARIS
DELTA PETROL 1.2,Manual,44141,1st Owner,Petrol,DL-8C,668000,2021,Maruti,Baleno
MAGNA 1.2 KAPPA VTVT,Manual,35810,2nd Owner,CNG,HR-26,457000,2017,HYUNDAI,GRAND
ASTA 1.2,Manual,32296,1st Owner,Petrol,DL-2C,596000,2016,Hyundai,Elite
MAGNA 1.5 MT,Manual,11726,1st Owner,Diesel,HR-98,829000,2021,Hyundai,NEW
LXI,Manual,23760,1st Owner,Petrol,DL-2C,324000,2014,Maruti,Wagon
DELTA 1.4 MT PETROL,Manual,83946,2nd Owner,Petrol,HR-26,626000,2017,Maruti,CIAZ
HTK PLUS AT 1.5 DIESEL,Automatic,49488,1st Owner,Diesel,HR-26,1377000,2020,KIA,SELTOS
ALPHA 1.5 SHVS PETROL,Manual,55980,2nd Owner,Petrol,DL-12,875000,2018,Maruti,CIAZ
SV MT PETROL,Manual,47670,2nd Owner,Petrol,DL-4C,615000,2015,HONDA,CITY
LXI,Manual,55080,1st Owner,Petrol,DL-2C,432000,2015,Maruti,Swift
VXI AMT,Automatic,70510,2nd Owner,Petrol,HR-51,692000,2020,Maruti,Dzire
SX PLUS 1.0 TURBO DCT,Automatic,18194,1st Owner,Petrol,DL-5C,1124000,2020,Hyundai,VENUE
DELTA PETROL 1.2,Manual,24674,2nd Owner,Petrol,DL-6C,601000,2018,Maruti,Baleno
SIGMA 1.4 VVT,Manual,69680,1st Owner,Petrol,HR-26,611000,2017,Maruti,CIAZ
VXI,Manual,55483,1st Owner,Petrol,DL-1C,548000,2018,Maruti,Swift
MAGNA 1.2 KAPPA VTVT,Manual,85759,2nd Owner,CNG,HR-51,472000,2018,Hyundai,Grand
ZDI PLUS DUAL TONE,Manual,48535,1st Owner,Diesel,DL-12,763000,2018,Maruti,Vitara
GTX + AT PETROL,Automatic,28506,1st Owner,Petrol,HR-26,1633000,2020,KIA,SELTOS
1.2 SX MT I VTEC,Manual,55379,1st Owner,Petrol,DL-3C,423000,2014,Honda,Amaze
ALPHA PETROL 1.2,Manual,22244,1st Owner,Petrol,DL-6C,778000,2020,Maruti,Baleno
VX AT I DTEC,Automatic,69222,2nd Owner,Diesel,HR-26,740000,2019,Honda,Amaze
1.2 S MT I VTEC,Manual,43956,1st Owner,Petrol,DL-2C,313000,2013,HONDA,BRIO
1.5L I-VTEC VX CVT,Automatic,34851,1st Owner,Petrol,UP-78,703600,2015,Honda,City
ZETA PETROL 1.2,Manual,8924,1st Owner,Petrol,UP-14,671000,2019,Maruti,Baleno
LXI CNG 1.0 L,Manual,23040,1st Owner,CNG,DL-11,568000,2020,Maruti,New
S 1.2 CNG,Manual,41871,1st Owner,CNG,DL-12,741000,2020,HYUNDAI,AURA
J CVT,Automatic,15778,1st Owner,Petrol,HR-98,1046000,2021,Toyota,YARIS
XL Turbo CVT,Automatic,21967,1st Owner,Petrol,DL-8C,886000,2021,NISSAN,MAGNITE
ZDI PLUS,Manual,7749,1st Owner,Diesel,DL-9C,893000,2018,Maruti,Vitara
GL,Manual,45060,2nd Owner,Petrol,DL-10,1153000,2017,TOYOTA,COROLLA
SPORTZ (O) 1.2 KAPPA VTVT,Manual,37646,1st Owner,Petrol,DL-4C,510000,2017,Hyundai,Grand
1.2L I-VTEC VX,Manual,80224,1st Owner,Petrol,DL-3C,470000,2015,HONDA,JAZZ
SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,56054,1st Owner,Petrol,DL-10,579000,2018,Hyundai,Grand
ZXI AMT,Automatic,37338,1st Owner,Petrol,DL-8C,671000,2018,Maruti,Swift
XZ+ 1.5,Manual,10422,1st Owner,Diesel,HR-26,1189000,2021,Tata,NEXON
LXI CNG 1.0 L,Manual,14396,1st Owner,CNG,DL-8C,589000,2021,Maruti,New
VDI,Manual,49317,1st Owner,Diesel,DL-6C,727000,2018,Maruti,Vitara
ASTA 1.2 (O) VTVT,Manual,25073,1st Owner,Petrol,DL-3C,468000,2016,Hyundai,Grand
GTX + AT PETROL,Automatic,18651,1st Owner,Petrol,DL-14,1646000,2020,KIA,SELTOS
1.6 SX (O) CRDI,Manual,60805,2nd Owner,Diesel,UP-16,928000,2018,HYUNDAI,CRETA
VDI OPT,Manual,34238,1st Owner,Diesel,DL-1C,750000,2018,Maruti,Vitara
Alpha 1.5 Diesel,Manual,60812,2nd Owner,Diesel,DL-3C,985000,2019,Maruti,CIAZ
LXI CNG,Manual,41807,1st Owner,CNG,DL-3C,383000,2019,Maruti,Alto
DELTA PETROL 1.2,Manual,19875,1st Owner,Petrol,DL-8C,716000,2021,Maruti,Baleno
1.6 CRDI SX PLUS AUTO,Automatic,60316,1st Owner,Diesel,DL-8C,1192000,2018,Hyundai,Creta
LX PETROL HT 4WD AT,Automatic,12949,1st Owner,Petrol,UP-16,1503000,2021,Mahindra,Thar
DELTA PETROL 1.2,Manual,55725,1st Owner,Petrol,DL-9C,506000,2017,Maruti,Baleno
1.5TITANIUM TDCI,Manual,51665,1st Owner,Diesel,HR-34,658000,2017,Ford,Ecosport
1.2 SX MT I VTEC,Manual,29081,1st Owner,Petrol,DL-2C,521000,2016,HONDA,AMAZE
1.6 S,Manual,78700,1st Owner,Petrol,DL-8C,800000,2016,Hyundai,Creta
ZETA CVT PETROL 1.2,Automatic,32334,1st Owner,Petrol,UP-14,573000,2016,Maruti,Baleno
MAGNA (O) 1.2,Manual,72982,1st Owner,Petrol,HR-29,283000,2011,HYUNDAI,I20
XZA 1.2 REVOTRON,Automatic,27451,2nd Owner,Petrol,HR-26,535000,2018,Tata,Tiago
V MT PETROL,Manual,32812,1st Owner,Petrol,HR-26,832000,2018,Honda,City
1.6 SX VTVT,Manual,21153,1st Owner,Petrol,UP-16,1149000,2019,Hyundai,Creta
ZXI PLUS,Manual,10684,1st Owner,Petrol,HR-29,966000,2020,Maruti,VITARA
1.2 SX MT I VTEC,Manual,26535,1st Owner,Petrol,DL-8C,515000,2016,Honda,Amaze
ZETA 1.5,Manual,16158,1st Owner,Petrol,UP-32,942000,2021,Maruti,S
ALPHA 1.5 MT VTVT SHVS,Manual,18699,1st Owner,Petrol,HR-23,956000,2020,Maruti,Ciaz
DELTA PETROL 1.2,Manual,57559,1st Owner,Petrol,DL-8C,550000,2017,Maruti,Baleno
DELTA PETROL 1.2,Manual,28991,1st Owner,Petrol,DL-2C,627000,2019,Maruti,Baleno
LXI CNG,Manual,27451,1st Owner,CNG,DL-6C,456000,2021,Maruti,Alto
DELTA PETROL 1.2,Manual,51415,1st Owner,Petrol,DL-8C,522000,2016,Maruti,Baleno
MAGNA EXECUTIVE 1.2,Manual,62148,2nd Owner,Petrol,DL-4C,514000,2017,Hyundai,Elite
1.5L I-DTEC VX MT,Manual,8125,1st Owner,Diesel,HR-51,1022700,2021,HONDA,WR-V
MAGNA 1.2,Manual,30873,1st Owner,Petrol,DL-9C,522000,2016,Hyundai,Elite
DELTA 1.2,Manual,27641,1st Owner,Petrol,HR-26,505000,2019,Maruti,IGNIS
VDI,Manual,68644,2nd Owner,Diesel,HR-26,602000,2018,Maruti,Dzire
ASTA 1.2 (O),Manual,84534,2nd Owner,Petrol,UP-14,587000,2016,HYUNDAI,ELITE
2.8 ZX AT 7 STR,Automatic,49585,1st Owner,Diesel,HR-29,2015000,2019,Toyota,INNOVA
1.2 EX MT I VTEC,Manual,65641,1st Owner,Petrol,HR-26,310000,2013,Honda,Brio
1.2 i-VTEC VX MT,Manual,38273,2nd Owner,Petrol,UP-85,723000,2019,HONDA,WR-V
SX 1.0 TURBO,Manual,37597,2nd Owner,Petrol,DL-2C,892000,2019,HYUNDAI,VENUE
G MT,Manual,72618,1st Owner,Petrol,HR-36,800000,2020,Toyota,YARIS
DELTA PETROL 1.2,Manual,39961,1st Owner,Petrol,HR-51,557000,2017,Maruti,Baleno
M6 8 STR,Manual,35590,1st Owner,Diesel,HR-26,1065000,2019,Mahindra,MARAZZO
1.2 SMT I VTEC,Manual,49648,1st Owner,Petrol,UP-14,597000,2019,Honda,Amaze
ALPHA PETROL 1.2,Manual,10869,1st Owner,Petrol,HR-26,772000,2020,Maruti,Baleno
1.5 TITANIUM TI VCT,Manual,23356,2nd Owner,Petrol,HR-26,787000,2019,Ford,Ecosport
ZETA PETROL 1.2,Manual,24713,1st Owner,Petrol,DL-7C,739000,2019,Maruti,Baleno
S MT PETROL,Manual,96271,1st Owner,Petrol,DL-3C,437000,2013,Honda,City
SX MT,Manual,55985,1st Owner,Diesel,HR-30,1502000,2020,Hyundai,Creta
ASTA 1.2 KAPPA VTVT,Manual,82117,2nd Owner,Petrol,DL-1C,428000,2015,HYUNDAI,GRAND
ZDI AMT,Automatic,74766,1st Owner,Diesel,DL-3C,922000,2019,Maruti,Vitara
SHVS VDI,Manual,60895,1st Owner,Diesel,HR-51,594000,2017,Maruti,CIAZ
GLS 2WD AT PETROL,Automatic,74977,2nd Owner,Petrol,DL-4C,1321000,2016,Hyundai,TUCSON
SPORTZ 1.2,Manual,84176,1st Owner,Petrol,DL-3C,516000,2015,HYUNDAI,ELITE
1.2L I-VTEC VX MT,Manual,41825,1st Owner,Petrol,HR-26,804000,2018,Honda,WR-V
ALPHA CVT PETROL 1.2,Automatic,66714,1st Owner,Petrol,HR-70,730000,2019,Maruti,Baleno
VXI,Manual,1,1st Owner,Petrol,HR-26,404000,2020,Maruti,S
ZETA 1.5 SHVS VVT MT,Manual,54326,1st Owner,Petrol,UP-16,892000,2021,Maruti,CIAZ
ZDI PLUS,Manual,64938,1st Owner,Diesel,DL-9C,814000,2018,Maruti,Vitara
1.0 RXZ,Manual,11325,1st Owner,Petrol,DL-12,800000,2022,Renault,TRIBER
SX AT 1.6 DIESEL,Automatic,57263,1st Owner,Diesel,UP-16,1130000,2018,Hyundai,Creta
VXI,Manual,12255,1st Owner,Petrol,DL-3C,482000,2015,Maruti,Swift
DELTA PETROL 1.2,Manual,43381,1st Owner,Petrol,DL-8C,566000,2017,Maruti,Baleno
LX HT PETROL 4WD MT,Manual,8170,1st Owner,Petrol,HR-51,1494000,2021,Mahindra,Thar
LXI,Manual,48622,2nd Owner,Petrol,HR-26,153000,2010,Maruti,ALTO
VXI,Manual,79356,1st Owner,Petrol,UP-85,461000,2015,Maruti,SWIFT
ZDI PLUS,Manual,41612,1st Owner,Diesel,DL-12,815000,2019,Maruti,VITARA
MAGNA 1.2 KAPPA VTVT,Manual,42956,2nd Owner,Petrol,DL-9C,425000,2017,Hyundai,Grand
LXI,Manual,49661,1st Owner,Petrol,DL-5C,553000,2019,Maruti,Swift
ZDI PLUS,Manual,91454,1st Owner,Diesel,DL-1C,783000,2018,Maruti,Vitara
LXI,Manual,1994,2nd Owner,Petrol,HR-51,559000,2019,Maruti,Swift
1.6 CRDI SX PLUS AUTO,Automatic,80448,1st Owner,Diesel,HR-26,1238000,2018,HYUNDAI,CRETA
VXI CNG,Manual,84583,1st Owner,CNG,DL-9C,519000,2020,Maruti,Celerio
ZDI AMT,Automatic,40155,1st Owner,Diesel,DL-9C,927000,2019,Maruti,Vitara
1.2L I-VTEC S,Manual,8183,1st Owner,Petrol,UP-16,737000,2021,Honda,Amaze
ZDI PLUS AMT,Automatic,78332,1st Owner,Diesel,DL-1C,658000,2018,Maruti,Dzire
VXI,Manual,11716,1st Owner,Petrol,UP-14,411000,2014,Maruti,Swift
XZ PETROL,Manual,17780,1st Owner,Petrol,DL-9C,731000,2020,TATA,ALTROZ
LXI CNG (O) 1.0,Manual,36429,1st Owner,CNG,HR-76,601000,2022,Maruti,New
1.2L I-VTEC V AT,Automatic,25163,1st Owner,Petrol,HR-26,654000,2017,HONDA,JAZZ
1.2 V CVT I VTEC,Automatic,40271,1st Owner,Petrol,HR-26,719000,2019,Honda,Amaze
VDI,Manual,28244,1st Owner,Diesel,DL-3C,810000,2019,Maruti,Vitara
XMA PETROL,Automatic,21958,1st Owner,Petrol,DL-2C,840000,2019,TATA,NEXON
VXI+ AMT,Automatic,37432,2nd Owner,Petrol,DL-9C,438000,2017,Maruti,Wagon
ZDI PLUS AMT,Automatic,48600,1st Owner,Diesel,DL-6C,862000,2018,Maruti,VITARA
1.2 i-VTEC VX MT,Manual,15224,1st Owner,Petrol,UP-85,908000,2021,Honda,WR-V
ZXI PLUS AMT DUAL TONE,Automatic,11545,2nd Owner,Petrol,DL-12,858000,2021,Maruti,Swift
VXI OPT,Manual,45540,1st Owner,Petrol,DL-2C,307000,2015,Maruti,Alto
ALPHA 1.5 SHVS PETROL,Manual,15387,1st Owner,Petrol,DL-6C,915000,2018,Maruti,CIAZ
ZDI,Manual,45655,1st Owner,Diesel,DL-8C,801000,2018,Maruti,Vitara
MAGNA PLUS OPTIONAL,Manual,33233,1st Owner,Petrol,UP-21,365000,2018,Hyundai,Eon
DELTA CVT PETROL 1.2,Automatic,55821,1st Owner,Petrol,UP-14,539000,2016,Maruti,Baleno
XE 1.2 REVOTRON,Manual,19811,1st Owner,Petrol,HR-51,579000,2021,TATA,TIAGO
MAGNA 1.2 KAPPA VTVT,Manual,63706,1st Owner,Petrol,DL-8C,382000,2015,Hyundai,Grand
W6 1.5 DIESEL,Manual,31287,1st Owner,Diesel,HR-51,874000,2019,MAHINDRA,XUV
LXI (O),Manual,49414,2nd Owner,Petrol,DL-1C,430000,2016,Maruti,Swift
XZ+ OPT PETROL,Manual,12392,1st Owner,Petrol,HR-98,1046650,2021,Tata,NEXON
LX D 4*4 MT HT,Manual,11271,1st Owner,Diesel,HR-26,1623000,2021,Mahindra,Thar
ZXI PLUS AGS,Automatic,1473,1st Owner,Petrol,DL-12,669000,2021,Maruti,Celerio
